Error ROE ID,Firm ROE ID,Error Code,Error Reason,Error Type,Repair Status,CAT Reporter CRD,CAT Reporter IMID,Submitter ID,Order ID,Order Key Date,Trade ID,Trade Key Date,Fulfillment ID,Fulfillment Key Date,Quote ID,Quote Key Date,Allocation ID,Allocation Key Date,Symbol,Option ID,Event Type,Event Timestamp,Seq No,Side,Price,Quantity,Sender IMID,Receiver IMID,Destination,Routed Order ID,Session,Tape Trade ID,Parent Order ID,Parent Order Key Date,Prior Order ID,Prior Order Key Date,Prior Fulfillment ID,Prior Fill Key Date,Prior Quote ID,Prior Quote Key Date,Prior Allocation ID,Prior Allocation Key Date,Routing Party,Exchange,Reporting Side Executing MPID,Reporting Side Trade ID,Contra Side Executing MPID,Contra Side Trade ID,Market Center ID,Firm Designated ID,Repair Timestamp,Repaired By,Repair Type,Repair Org. ID,Repair Source,Correction Due,File Name
,20240513_20240513.SPDR5.001702266,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,REGCO,,MEOA,20240513T160000.517000000,,B,,100,126588:VCVW,104138:SPDR,,VCTY-TAK2-327144,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702450,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BCV PRA,,MEOA,20240513T160000.844000000,,SL,22.62,200,126588:VCVW,104138:SPDR,,VCTY-TAK2-461794,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702729,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,IVR PRB,,MEOA,20240513T160001.431000000,,B,24.08,100,126588:VCVW,104138:SPDR,,VCTY-TAK2-375919,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001702812,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ESGRP,,MEOA,20240513T160001.486000000,,B,,17,126588:VCVW,104138:SPDR,,VCTY-TAK2-429470,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_20240513.SPDR5.001703080,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,EQH PRA,,MEOA,20240513T160001.621000000,,B,21.78,100,126588:VCVW,104138:SPDR,,VCTY-TAK2-412938,,,,,,,,,,,,,,,,,,,,,,,,,,,96557_SPDR_20240513_SPDR5xxxSTGx20240513_OrderEvents_000001.csv.bz2
,20240513_283d9434246e01917e7df64655371452,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,KREF PRA,,MEOA,20240513T160001.193000000,,SL,19.43,2,126588:VCVW,7897:INCA,,VCTY-TAK2-430152,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000037.csv.bz2
,20240513_342d33c9cf1079f934e0dfbea8a74620,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,KREF PRA,,MEOA,20240513T160001.192000000,,SL,19.43,1,126588:VCVW,7897:INCA,,VCTY-TAK2-430151,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000015.csv.bz2
,20240513_39b25ffe54957083802d238dc3260819_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,RWTN,,MEOA,20240513T160001.234000000,,B,25.68,100,126588:VCVW,7897:INCA,,VCTY-TAK2-415319,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900014.json.bz2
,20240513_3adb81e587315e3c00ee7825c044edb1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,LANV,,MEOA,20240513T160001.191000000,,SL,1.64,200,126588:VCVW,7897:INCA,,VCTY-TAK2-403924,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000011.csv.bz2
,20240513_3d248a711f3ebe7b23d3e738142d1612,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,REXR PRC,,MEOA,20240513T160000.635000000,,B,21.11,100,126588:VCVW,7897:INCA,,VCTY-TAK2-305818,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000033.csv.bz2
,20240513_3ef74c71c6f35afd9e1b88163eb8ce5f,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,CIM PRA,,MEOA,20240513T160000.962000000,,SS,20.69,100,126588:VCVW,7897:INCA,,VCTY-TAK2-268156,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000009.csv.bz2
,20240513_4b3afe79c6c1d7c2e3af0db7d79a1f02_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,LANDP,,MEOA,20240513T160001.416000000,,B,19.22,100,126588:VCVW,7897:INCA,,VCTY-TAK2-304644,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900023.json.bz2
,20240513_4c4324a891b4a3b5bea50f1cb740361c,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,MPV,,MEOA,20240513T160000.987000000,,B,15.26,100,126588:VCVW,7897:INCA,,VCTY-TAK2-441854,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000041.csv.bz2
,20240513_4e665b1992ce56038df647e01a54290f_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ATLCZ,,MEOA,20240513T160000.437000000,,B,24.73,400,126588:VCVW,7897:INCA,,VCTY-TAK2-416768,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900056.json.bz2
,20240513_5d2b7244ad879733a6c9c1487dc77204,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TVC,,MEOA,20240513T160000.728000000,,B,22.03,100,126588:VCVW,7897:INCA,,VCTY-TAK2-401653,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000029.csv.bz2
,20240513_65f0c10a8fec452b471e7ad5345dec0b_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TCBIO,,MEOA,20240513T160001.415000000,,B,19.28,100,126588:VCVW,7897:INCA,,VCTY-TAK2-459992,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900040.json.bz2
,20240513_6e9747b6ee5c9ad64ec9c55b946fa6e4,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,HIX,,MEOA,20240513T160000.638000000,,SL,4.43,496,126588:VCVW,7897:INCA,,VCTY-TAK2-467829,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000005.csv.bz2
,20240513_870877f3adefae65452267f3ffef92a2,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ACR PRC,,MEOA,20240513T160000.666000000,,SL,24.48,100,126588:VCVW,7897:INCA,,VCTY-TAK2-433827,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000019.csv.bz2
,20240513_8acb9ae5f5a5f5c4dba6529e9405d441,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,WBS PRG,,MEOA,20240513T160000.176000000,,B,22.67,100,126588:VCVW,7897:INCA,,VCTY-TAK2-340728,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000039.csv.bz2
,20240513_9151c4687e4924f2399d2b802fe1564a,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,NCV PRA,,MEOA,20240513T160000.310000000,,SL,22.12,100,126588:VCVW,7897:INCA,,VCTY-TAK2-350671,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000001.csv.bz2
,20240513_a374c5fdceb1418ccdf3680ed98fc0e0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TRTX PRC,,MEOA,20240513T160000.129000000,,SS,17.81,100,126588:VCVW,7897:INCA,,VCTY-TAK2-434693,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000037.csv.bz2
,20240513_adfa3c3de6c72019795b45809ac2dc28_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,CIM PRA,,MEOA,20240513T160001.267000000,,SS,20.69,100,126588:VCVW,7897:INCA,,VCTY-TAK2-268154,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900024.json.bz2
,20240513_aec594c234bc48c7d81e23bce4c5e988_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BIPH,,MEOA,20240513T160000.438000000,,B,17.16,500,126588:VCVW,7897:INCA,,VCTY-TAK2-283832,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900086.json.bz2
,20240513_b336bf7ea1ea47a1b636019a2fd7a541_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,FITBP,,MEOA,20240513T160001.267000000,,B,23.66,100,126588:VCVW,7897:INCA,,VCTY-TAK2-419307,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900021.json.bz2
,20240513_bcb9df300a4a36f458e2dddbb0a41108_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,AFGD,,MEOA,20240513T160001.285000000,,SL,22.99,101,126588:VCVW,7897:INCA,,VCTY-TAK2-434232,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900089.json.bz2
,20240513_bcdc2e2ff557d90423c6052b73c0bf37,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BC PRC,,MEOA,20240513T160001.165000000,,B,24.34,100,126588:VCVW,7897:INCA,,VCTY-TAK2-345024,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000025.csv.bz2
,20240513_c4a1baa7a376152c09c6de7ec5567ce6,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,WTFCM,,MEOA,20240513T160000.734000000,,B,24.41,100,126588:VCVW,7897:INCA,,VCTY-TAK2-456114,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000003.csv.bz2
,20240513_c606498fd6e67f8cfa0bce9a14682f11_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ACGLO,,MEOA,20240513T160000.544000000,,B,22.66,189,126588:VCVW,7897:INCA,,VCTY-TAK2-459303,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900067.json.bz2
,20240513_cc59647b9e1aba1ce38307d9765ed0c5,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BFS PRD,,MEOA,20240513T160001.175000000,,B,20.48,100,126588:VCVW,7897:INCA,,VCTY-TAK2-432239,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000007.csv.bz2
,20240513_d346da7d3d160cc4249a5189ee15e198,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ONBPP,,MEOA,20240513T160000.645000000,,B,24.44,100,126588:VCVW,7897:INCA,,VCTY-TAK2-311341,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000001.csv.bz2
,20240513_d81675cf2a027a0fa136fc15cd6f421b_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,ONBPP,,MEOA,20240513T160001.360000000,,B,24.44,100,126588:VCVW,7897:INCA,,VCTY-TAK2-311340,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900075.json.bz2
,20240513_d934c8c0c5920e4115b6d6825fe9c3f1,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,CCLDP,,MEOA,20240513T160000.980000000,,B,7.05,1000,126588:VCVW,7897:INCA,,VCTY-TAK2-307542,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000031.csv.bz2
,20240513_e24311b5e609c4534cf7f2db97d84f53_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,PNFPP,,MEOA,20240513T160001.346000000,,B,23.28,100,126588:VCVW,7897:INCA,,VCTY-TAK2-258998,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900075.json.bz2
,20240513_e2e7c57da3977c9e7938dd206de85b5e_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,DHCNI,,MEOA,20240513T160001.355000000,,SL,13.19,100,126588:VCVW,7897:INCA,,VCTY-TAK2-343490,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900083.json.bz2
,20240513_e6f27938494be68ccc450aeef7e89ed2,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,LANDP,,MEOA,20240513T160001.187000000,,B,19.22,100,126588:VCVW,7897:INCA,,VCTY-TAK2-304650,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000005.csv.bz2
,20240513_e896f82fdfe6a2211c46144e1efacafd,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,KREF PRA,,MEOA,20240513T160001.193000000,,SS,19.43,95,126588:VCVW,7897:INCA,,VCTY-TAK2-430153,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000015.csv.bz2
,20240513_ea08b274eab068053a571dbc6f7308a4,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,KREF PRA,,MEOA,20240513T160001.191000000,,SL,19.43,2,126588:VCVW,7897:INCA,,VCTY-TAK2-430150,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000015.csv.bz2
,20240513_f1b57df137758bfd6c27b659ee3dfec9_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BANFP,,MEOA,20240513T160001.399000000,,B,25.03,100,126588:VCVW,7897:INCA,,VCTY-TAK2-343061,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900024.json.bz2
,20240513_f5c1d4837650f1f9b52224ebefb4e7ae_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,DCOMP,,MEOA,20240513T160001.413000000,,B,16.84,100,126588:VCVW,7897:INCA,,VCTY-TAK2-378725,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900069.json.bz2
,20240513_fe171b92a3ae960c226eefa05f690e62,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,TECTP,,MEOA,20240513T160001.147000000,,B,10.13,100,126588:VCVW,7897:INCA,,VCTY-TAK2-379584,,,,,,,,,,,,,,,,,,,,,,,,,,,93005_INCA_20240513_INCA0VTMF_OrderEvents_000017.csv.bz2
,20240513_fe8dea8ee9d6baf12c912caa31b292b9_0,9004,Named - Matching routedOrderID/routedQuoteID cannot be found,NAMED,U,126588,VCVW,,,,,,,,,,,,BANFP,,MEOA,20240513T160001.667000000,,B,23.66,900,126588:VCVW,7897:INCA,,VCTY-TAK2-343062,,,,,,,,,,,,,,,,,,,,,,,,,,,7897_INCA_20240513_INCA0VTMF_OrderEvents_900069.json.bz2
